amfi_code,scheme_name,fund_house,category,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,max_drawdown_pct,expense_ratio_pct,return_score,sharpe_score,sortino_score,alpha_score,drawdown_score,expense_score,fund_score,rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,20.37595706234765,33.991970400445304,,1.46250402900308,1.4776803315864886,26.98375144191807,0.023683558075848623,-11.265729075028275,1.46,0.0,20.0,15.0,12.75,8.25,4.5,60.5,1
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,26.677583918827153,29.57511058901836,,1.3194419817117222,1.396262398583052,27.330465038306055,-0.02282956979242654,-12.97396816518679,1.45,0.0,19.5,14.625,13.5,7.0,4.75,59.38,2
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,29.627681171526877,31.769242852237323,,1.1905585963067509,1.250035138312352,29.26358334175106,0.000549004250631712,-18.188513572116292,1.36,0.0,18.0,13.5,14.25,4.0,6.5,56.25,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,53.277195495404996,32.43397122906222,,1.1043517629506803,1.1335247477292634,27.19535450128533,0.0051035258305283104,-16.217208574644847,1.38,0.0,17.0,12.75,13.125,5.25,6.0,54.12,4
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,39.78380253854239,29.17135767741186,,1.2463441409620546,1.314890936031323,28.27036785246582,0.018133884083859245,-16.39674294693263,1.6,0.0,19.0,14.25,13.875,5.0,1.125,53.25,5
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,60.489297118400344,30.448613060027817,,1.222947214685128,1.2778445274111256,23.201007160635083,-0.03175144113890972,-15.012385498645331,1.54,0.0,18.5,13.875,11.625,6.0,2.625,52.62,6
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,13.073788394478303,32.478927222623,,1.0405688566490552,1.0603773810138761,21.19482701352573,0.016232169761417007,-12.588275606922517,0.8,0.0,15.5,11.25,10.5,7.25,7.25,51.75,7
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,5.7101178520777784,16.263375081360643,,0.9677516848309506,0.9932950480667999,19.86859936686296,-0.026159307513513405,-11.803493502764296,0.66,0.0,14.5,10.125,9.75,7.5,9.25,51.12,8
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,34.007895823651204,22.646647456747715,,1.0959175992660923,1.1205197328586975,21.829397904608644,-0.008353832126962021,-17.41407508665723,1.51,0.0,16.5,12.375,11.25,4.5,4.125,48.75,9
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,21.497414349538225,26.863103668817146,,1.1434895599140866,1.1474046581328465,26.598577542043046,-0.002523004664699247,-17.24810575345138,1.61,0.0,17.5,13.125,12.375,4.75,0.75,48.5,10
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,47.96379447633372,28.960211096593724,,1.0410608155745142,1.0845566273543332,21.399784776051213,0.02108631625012803,-11.291596329323072,1.6,0.0,16.0,12.0,10.875,8.0,1.125,48.0,11
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,22.277897154308548,35.10252788903541,,1.008625789131447,1.0607538790280233,26.07666908004223,-0.06626542862803757,-20.960883862039193,1.38,0.0,15.0,11.625,12.0,3.25,6.0,47.88,12
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,82.85157468100046,26.66309129954312,,0.9533324621776287,0.9952214140400343,30.336965386983323,-0.023196062044059693,-28.706005721764548,1.43,0.0,13.5,10.5,15.0,1.25,5.0,45.25,13
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,7.430320855847317,7.392538786263403,,0.9041623305389642,0.9165953070388927,6.746210411099539,-0.0004440926329707234,-0.09773140045925555,0.74,0.0,12.5,9.375,3.75,10.0,8.5,44.12,14
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,65.19546577826334,26.99350260734621,,0.9579170598994395,0.996176599908065,30.05787817097677,0.011455159960520708,-31.171900300634213,1.52,0.0,14.0,10.875,14.625,1.0,3.625,44.12,15
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,14.279834500870736,14.744434832760533,,0.9393621577599311,0.9677578806587319,20.873010086942337,-0.026387719943843004,-15.27259422823477,1.52,0.0,13.0,9.75,10.125,5.5,3.625,42.0,16
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,28.6975804558778,18.429918008610045,,0.7895427197023165,0.820442380366013,17.729754927531765,0.04882040425957739,-15.200013055606398,0.92,0.0,11.0,8.25,9.375,5.75,6.75,41.12,17
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,8.495135972254552,13.974980348212673,,0.8125023019488139,0.8346658623726045,17.703302365844074,-0.0402689523698206,-13.897862823061635,1.42,0.0,11.5,8.625,9.0,6.75,5.25,41.12,18
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,22.510248103762276,20.00321571698329,,0.6803950621402518,0.6995229998360207,15.136354648239239,-0.001433521389780133,-11.650624505409091,0.89,0.0,10.5,7.875,6.75,7.75,7.0,39.88,19
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,20.222858595384665,19.662361245910965,,0.8328147683762688,0.8581294632693188,17.048756803412697,-0.019486785689474526,-10.85986215250232,1.57,0.0,12.0,9.0,8.25,8.5,1.75,39.5,20
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,25.559539940517382,21.084691029380597,,0.6596198173038668,0.6966392128529744,15.643835948169668,-0.03663900671860934,-18.62974313859551,0.72,0.0,9.5,7.5,7.125,3.75,8.875,36.75,21
