investor_id,sip_transactions,avg_gap_days,max_gap_days,status
INV000004,6,85.4,265.0,At-Risk
INV000008,6,70.4,165.0,At-Risk
INV000010,6,64.8,139.0,At-Risk
INV000011,7,40.17,125.0,At-Risk
INV000012,8,57.0,132.0,At-Risk
INV000013,7,55.33,104.0,At-Risk
INV000014,7,75.33,128.0,At-Risk
INV000023,8,58.57,115.0,At-Risk
INV000028,6,93.6,238.0,At-Risk
INV000029,7,60.67,96.0,At-Risk
INV000030,9,47.62,100.0,At-Risk
INV000033,8,45.57,87.0,At-Risk
INV000039,6,68.6,129.0,At-Risk
INV000045,6,70.6,109.0,At-Risk
INV000048,9,46.0,168.0,At-Risk
INV000052,6,36.2,120.0,At-Risk
INV000056,6,74.8,161.0,At-Risk
INV000057,8,49.71,149.0,At-Risk
INV000069,10,49.11,129.0,At-Risk
INV000072,6,83.0,247.0,At-Risk
INV000073,9,48.25,112.0,At-Risk
INV000074,8,72.57,191.0,At-Risk
INV000075,6,74.8,102.0,At-Risk
INV000076,6,91.8,203.0,At-Risk
INV000079,6,65.8,90.0,At-Risk
INV000081,7,81.33,167.0,At-Risk
INV000082,7,83.67,351.0,At-Risk
INV000086,10,44.67,167.0,At-Risk
INV000087,6,92.8,202.0,At-Risk
INV000091,8,44.0,105.0,At-Risk
INV000093,7,55.5,91.0,At-Risk
INV000094,6,44.8,95.0,At-Risk
INV000095,6,69.4,155.0,At-Risk
INV000097,7,54.5,183.0,At-Risk
INV000101,8,65.0,197.0,At-Risk
INV000102,8,65.29,109.0,At-Risk
INV000103,6,83.4,232.0,At-Risk
INV000105,8,57.0,87.0,At-Risk
INV000109,9,46.25,63.0,At-Risk
INV000113,8,46.0,144.0,At-Risk
INV000123,7,59.67,142.0,At-Risk
INV000128,6,82.0,181.0,At-Risk
INV000131,7,56.0,123.0,At-Risk
INV000132,6,71.0,139.0,At-Risk
INV000133,6,88.2,265.0,At-Risk
INV000138,6,76.2,220.0,At-Risk
INV000145,6,89.4,282.0,At-Risk
INV000146,6,66.8,171.0,At-Risk
INV000148,9,52.0,168.0,At-Risk
INV000155,7,37.33,99.0,At-Risk
INV000161,7,73.0,213.0,At-Risk
INV000163,8,61.0,80.0,At-Risk
INV000164,6,61.8,208.0,At-Risk
INV000169,7,67.83,145.0,At-Risk
INV000173,7,57.67,165.0,At-Risk
INV000175,7,83.67,170.0,At-Risk
INV000177,8,65.43,278.0,At-Risk
INV000180,6,61.8,229.0,At-Risk
INV000183,9,56.12,216.0,At-Risk
INV000191,7,56.5,161.0,At-Risk
INV000194,7,58.0,109.0,At-Risk
INV000195,6,77.4,114.0,At-Risk
INV000196,7,69.0,176.0,At-Risk
INV000201,9,51.12,100.0,At-Risk
INV000205,8,62.57,193.0,At-Risk
INV000210,8,70.71,163.0,At-Risk
INV000214,6,94.8,306.0,At-Risk
INV000217,6,92.0,183.0,At-Risk
INV000228,9,59.75,188.0,At-Risk
INV000236,8,67.14,112.0,At-Risk
INV000238,6,93.6,287.0,At-Risk
INV000239,8,48.86,105.0,At-Risk
INV000243,6,88.2,137.0,At-Risk
INV000245,6,92.2,164.0,At-Risk
INV000249,7,45.5,162.0,At-Risk
INV000252,6,50.4,96.0,At-Risk
INV000255,6,48.6,103.0,At-Risk
INV000256,6,70.2,155.0,At-Risk
INV000259,6,70.6,165.0,At-Risk
INV000260,8,59.57,206.0,At-Risk
INV000262,8,53.57,122.0,At-Risk
INV000263,8,68.43,271.0,At-Risk
INV000265,10,53.44,140.0,At-Risk
INV000268,7,62.33,143.0,At-Risk
INV000279,9,43.38,133.0,At-Risk
INV000280,9,55.75,191.0,At-Risk
INV000283,6,68.0,195.0,At-Risk
INV000287,7,69.83,301.0,At-Risk
INV000289,8,62.71,142.0,At-Risk
INV000291,6,89.0,196.0,At-Risk
INV000292,7,46.0,95.0,At-Risk
INV000293,7,47.0,91.0,At-Risk
INV000297,6,90.6,163.0,At-Risk
INV000299,6,85.2,240.0,At-Risk
INV000304,7,70.0,204.0,At-Risk
INV000309,8,52.0,157.0,At-Risk
INV000310,7,75.83,164.0,At-Risk
INV000318,6,97.4,175.0,At-Risk
INV000319,7,73.5,201.0,At-Risk
INV000321,7,72.83,204.0,At-Risk
INV000328,9,37.5,73.0,At-Risk
INV000331,8,50.71,163.0,At-Risk
INV000334,7,25.5,60.0,At-Risk
INV000335,6,96.0,279.0,At-Risk
INV000339,6,94.0,195.0,At-Risk
INV000341,8,54.43,191.0,At-Risk
INV000356,6,54.4,157.0,At-Risk
INV000359,9,54.12,197.0,At-Risk
INV000363,7,77.0,153.0,At-Risk
INV000369,6,43.8,112.0,At-Risk
INV000371,8,59.29,147.0,At-Risk
INV000372,7,54.5,121.0,At-Risk
INV000380,6,97.0,272.0,At-Risk
INV000388,9,53.62,119.0,At-Risk
INV000392,7,77.17,205.0,At-Risk
INV000395,7,55.67,119.0,At-Risk
INV000396,6,83.2,153.0,At-Risk
INV000399,10,49.56,68.0,At-Risk
INV000400,6,62.6,101.0,At-Risk
INV000403,6,58.2,90.0,At-Risk
INV000407,6,82.4,157.0,At-Risk
INV000408,6,46.8,125.0,At-Risk
INV000412,8,43.71,70.0,At-Risk
INV000414,8,66.29,233.0,At-Risk
INV000415,7,66.17,128.0,At-Risk
INV000418,6,86.8,238.0,At-Risk
INV000427,7,68.5,116.0,At-Risk
INV000428,8,52.14,164.0,At-Risk
INV000429,6,77.2,187.0,At-Risk
INV000437,6,97.8,295.0,At-Risk
INV000440,8,69.57,162.0,At-Risk
INV000441,6,60.8,151.0,At-Risk
INV000444,6,73.2,129.0,At-Risk
INV000445,9,57.75,129.0,At-Risk
INV000446,6,38.6,101.0,At-Risk
INV000449,6,46.8,70.0,At-Risk
INV000452,9,49.38,123.0,At-Risk
INV000457,6,91.4,256.0,At-Risk
INV000460,6,43.4,107.0,At-Risk
INV000463,7,65.17,181.0,At-Risk
INV000466,7,73.33,135.0,At-Risk
INV000467,10,56.67,272.0,At-Risk
INV000469,7,70.5,183.0,At-Risk
INV000483,8,70.43,252.0,At-Risk
INV000491,6,95.0,202.0,At-Risk
INV000493,10,47.56,201.0,At-Risk
INV000497,7,71.83,191.0,At-Risk
INV000499,7,77.83,157.0,At-Risk
INV000507,7,70.17,249.0,At-Risk
INV000512,9,54.75,112.0,At-Risk
INV000522,6,100.8,309.0,At-Risk
INV000524,7,55.0,91.0,At-Risk
INV000527,6,50.8,116.0,At-Risk
INV000529,6,59.2,110.0,At-Risk
INV000531,7,47.0,82.0,At-Risk
INV000539,7,77.0,153.0,At-Risk
INV000540,7,73.5,123.0,At-Risk
INV000543,7,83.67,218.0,At-Risk
INV000545,6,80.6,181.0,At-Risk
INV000546,9,55.0,154.0,At-Risk
INV000547,6,55.8,140.0,At-Risk
INV000549,6,96.2,146.0,At-Risk
INV000553,6,72.0,172.0,At-Risk
